城市,日期,AQI指数,空气质量级别,首要污染物
临汾市,2016-12-24,98,良,PM2.5
临汾市,2016-12-25,84,良,PM2.5
临汾市,2016-12-26,78,良,PM2.5
临汾市,2016-12-27,80,良,SO2
临汾市,2016-12-28,195,中度污染,PM2.5
临汾市,2016-12-29,228,重度污染,PM2.5
临汾市,2016-12-30,302,严重污染,PM2.5
临汾市,2016-12-31,415,严重污染,PM2.5
临汾市,2017-01-01,492,严重污染,PM10
临汾市,2017-01-02,500,严重污染,"PM10,PM2.5"
临汾市,2017-01-03,500,严重污染,PM10
临汾市,2017-01-04,487,严重污染,PM10
临汾市,2017-01-05,345,严重污染,PM2.5
临汾市,2017-01-06,240,重度污染,PM2.5
临汾市,2017-01-07,139,轻度污染,PM2.5
临汾市,2017-01-08,158,中度污染,PM2.5
临汾市,2017-01-09,189,中度污染,PM2.5
临汾市,2017-01-10,114,轻度污染,PM2.5
临汾市,2017-01-11,132,轻度污染,PM2.5
临汾市,2017-01-12,172,中度污染,PM2.5
